,username,description,location,text,hashtags
53,avm_pranaysinha,"Served IAF for 35 yrs. Ex-Air Officer Commanding of E W System, BRD. Ex- Commandant of Software Development Institute and Currently Advisor, BEL.","Bengaluru, India","@aka19a @MJ83789793 @Wangchuk66 @madhukishwar Sir I am working on a high priority semiconductor fab project, but hardly getting support. Most in the government don't understand or don't want to understand.  That will not perturb me, I have a goal which I will achieve. The government guys will turn in once it is done.",[]
54,AthanasiosMora1,,,Russian Government's New Semiconductor Plan: Local 28nm by 2030 https://t.co/OXciZ9wDQU https://t.co/cuZuvWrZom,[]
55,TechnoSports_in,A perfect destination for Sports and Technology lovers... :),"Kolkata, India",Semiconductor chip sales to Approach a whopping 430 Billion in 2022 reports IC Insights https://t.co/aYeaCiBqA9,[]
56,vkutfs4r6ufkts6,,,@Fred_McFeely So what your trying to tell me is to go all in on a 3x leveraged semiconductor stock?,[]
57,110Mubbashir,,,"This arrangement bypasses SWIFT. Please note, it is very important to understand that this deal occurred in 1953 before the petrodollar deal in 1974. 

IK was the first Pakistani PM to do a Pakistani Rupee-Chinese Yuan deal in 2019. This deal covered semiconductor, transformers,",[]
58,SmartTaipei,"TSMC, Semiconductor, SmartCity, eMobility and Renewables news from Taipei 台北智能城市 @smartecocity. RTs (EN/中文) ≠ endorsement for #TheMostDangerousPlaceOnEarth😁",Taipei,"Interview with TSMC founder Morris Chang:

Can semiconductor manufacturing return to the US? https://t.co/M8fb1fU8Zs via @BrookingsInst",[]
59,TensoftInc,Business software for tech companies #ERP #supplychain #revrec #semiconductor #IoT #PowerBI #revenuerecognition #MSDyn365 #Financials #postmodernerp #AI,"Silicon Valley, CA",Get an introduction to standard costing in the #technology industry and learn about #semiconductor manufacturing. #standardcost https://t.co/mmsQfSk6e6 https://t.co/vjCAzZxLSN,"['technology', 'semiconductor', 'standardcost']"
60,Eduardo_1054,"Studying Chinese politics, US-China relations @asianstudiesgu. Tweets mostly about politics, movies, and FC Barcelona.",,"Interview with TSMC founder Morris Chang:

Can semiconductor manufacturing return to the US? https://t.co/M8fb1fU8Zs via @BrookingsInst",[]
61,leslaikatz,"Hapa, made in Taiwan🇳🇫🇺🇸",,"WT Microelectronics Co., a Taiwan-based #semiconductor component distributor, has agreed to acquire Singapore-listed Excelpoint Technology Ltd. for almost NT$5 billion (US$179 million), in a bid to strengthen its product portfolio.
https://t.co/E6u18tBKLW",['semiconductor']
62,MAHESHAUDI,,,Apple’s semiconductor operation is so big that it would rank as the world’s 12th-largest chip company by revenue. Here’s the risky road that got it there. https://t.co/c31sFFf3qv via @WSJ,[]
63,yang121891,PhD in Media and Comms @lse working on digital tech and Chinese labour,,China's semiconductor ambitions take a hit after Huawei's HiSilicon drops out of global top 25 chip vendor rankings https://t.co/wxdWDTpNoJ,[]
64,rramkumar1976,"Joint Director, STPI-Chennai","Chennai, India",Massive spur in the global sales of #AI chips can play a pivotal role in providing #ESDM startups an opportunity to build special-purpose semiconductor devices to meet the spurring demand. @GoogleAI @DeepMind @IntelAI @NVIDIA @NVIDIAAI @OpenAI @StanfordHAI https://t.co/F4E5a28ImL,"['AI', 'ESDM']"
65,sameepagarwal3,"InfoSec Consultant, Pen-tester, Lead Auditor ISMS, Technologist, Traveller, Foodie, Indian Law Maniac. Views are mine.",,"@aka19a @MJ83789793 @Wangchuk66 @madhukishwar Sir I am working on a high priority semiconductor fab project, but hardly getting support. Most in the government don't understand or don't want to understand.  That will not perturb me, I have a goal which I will achieve. The government guys will turn in once it is done.",[]
66,BAESystemsJobs,"Whatever your talents, goals and ambitions, you’ll find a distinctive place to thrive at BAE Systems. Follow @BAEsystemsinc for a glimpse of #LifeatBAESystems.",United States,We're hiring! Click to apply: Semiconductor Production Operator - https://t.co/ulzx1SCYgR #SkilledTrade #nowhiring,"['SkilledTrade', 'nowhiring']"
67,gupta_yaswanth,"software Technology parks of India
Technical Assistant
Vijayawada
9966229597
yaswanth1407@gmail.com","Vijayawada, India",".@Gartner_Inc citing massive spur in global semiconductor revenue from $471 Bn in 2020 to $595 Bn in 2021, majorly driven by #automotive &amp; #5G, can infuse huge traction to India’s #PLIScheme for #semiconductor sector. @GoI_MeitY  @Rajeev_GoI
@investindia
https://t.co/goOvASy4iS",[]
68,FanTanSmith3,,"San Francisco, CA","Taiwan Semiconductor Manufacturing Co Ltd may produce 3nm chips for Apple Inc in the second half of 2022. TSMC’s mass production of 3nm chips is expected in the second half of this year, with an estimated production capacity of 3-35000 wafers.#TSMC",['TSMC']
69,chiumeister,"9% in Manhattan
27.3 yrs Since 10/94 +14.4% per yr vs $SPY +10.6%
Was @ $MS $C #BT $NOC @Century21
MBA @Columbia_Biz
BSEE @Columbia
◕‿◕
https://t.co/fkAS6WrrMl","New York City, USA","$AAPL 165.29
@Apple's semiconductor operation is so big that it would rank as the world’s 12th-largest chip company by revenue. Here’s the risky road that got it there. https://t.co/BbSaBpg6dZ via @WSJ",[]
70,DanShim4,prof at school of earth and space exploration #ASU. #planetaryscience #earthscience #highpressurescience,,"Silicon Valley Southwest: Arizona is poised to be at the epicenter of the American #Semiconductor revolution, with @ASU playing a starring role. https://t.co/Lc53FWZsQc #WPCmagazine https://t.co/HssTOBYJvA",['Semiconductor']
71,echristensen113,"Native West Texan, avid gardener, skilled chef.",Austin Texas,Chinese Invasion of Taiwan Could Undermine Global Semiconductor Market | Opinion https://t.co/W8EWbHa4Br,[]
72,RRaj93005327,medical student,,"Ironically, the forced evictions in Zhangjiang might be the single most serious disruption to China's semiconductor supply chain since US-China trade war, as Shanghai is home to 1/4th of China's semi-conductor capacity, and more than half of the firms are located in Zhangjiang. https://t.co/dPgGewjsDq",[]
73,PoopsTech,Sr. Software Designer specializing in UX/UI & DevOps for mobile apps in enterprise using Apple iOS & macOS + Win10 platforms.,Canada -  US,Samsung beats Intel as top semiconductor seller as overall demand rises https://t.co/5Ns9Z4vDjd https://t.co/zHhXYAPJum,[]
74,SmartTaipei,"TSMC, Semiconductor, SmartCity, eMobility and Renewables news from Taipei 台北智能城市 @smartecocity. RTs (EN/中文) ≠ endorsement for #TheMostDangerousPlaceOnEarth😁",Taipei,"@pstAsiatech Honestly and annoyingly, the market share of China semiconductor industry has been shrinking since the ambition was initially solid even with a plan. And the advanced process like 7nm become even more out of reach whereas 3nm would be soon rolled out by TSMC.",[]
75,ifafbot,Idea For A Farce. a brainstorming bot that pitches half-baked 80s script plots every 30 mins. @cyborgensis,,"The Feisty and the Riveting: 

A marshmallow calls it quits with a semiconductor; but what about the rest of Toadberry?",[]
76,PalomarTech,"Automated die bonders, wire bonders, and contract assembly services for optoelectronic packaging, complex hybrid assembly and micron-level component attachment.","Carlsbad, CA",White House warns of 'escalating vulnerabilities' to U.S. from semiconductor shortage | Reuters https://t.co/DMS98M82Oi,[]
77,YVaraPrasad1,Joint Director @ STPI-Hyderabad,"Hyderabad, India",Massive spur in the global sales of #AI chips can play a pivotal role in providing #ESDM startups an opportunity to build special-purpose semiconductor devices to meet the spurring demand. @GoogleAI @DeepMind @IntelAI @NVIDIA @NVIDIAAI @OpenAI @StanfordHAI https://t.co/F4E5a28ImL,"['AI', 'ESDM']"
78,TechmemeChatter,This account retweets the tweets that Techmeme links to.,"San Francisco, CA",Apple’s semiconductor operation is so big that it would rank as the world’s 12th-largest chip company by revenue. Here’s the risky road that got it there. #Semiconductors #SoC #ASIC  https://t.co/InYwPpimqD,[]
79,houjusen114514,"It/its, random racist e-troll/wokism supporter/libertarian/average 🚁 enjoyer/research degree graduate with a life pursuit of proving that plants can feel pain",Based Department,"@SallyMayweather China can also end Taiwan quickly, which will make a single dictatorship own over 50% of the world semiconductor production. Want that happen? The answer is already given.",[]
80,adhebar,,"Boston, USA",Apple’s semiconductor operation is so big that it would rank as the world’s 12th-largest chip company by revenue. Here’s the risky road that got it there. https://t.co/YACnKoIZm8,[]
81,kingjames7788,TwoEar is a name,,"@pstAsiatech Honestly and annoyingly, the market share of China semiconductor industry has been shrinking since the ambition was initially solid even with a plan. And the advanced process like 7nm become even more out of reach whereas 3nm would be soon rolled out by TSMC.",[]
82,finblueprint,"Experienced judgment, accurate vision. 100k+ newsletter on #fintech #defi #blockchain #neobanks #roboadvisors. 🤖💰 via @lexsokolin",In your heart,"China’s semiconductor ambitions take a hit after Huawei’s HiSilicon drops out of global top 25 chip vendor rankings

🚀 💾 #artificialintelligence 

https://t.co/HJYS33SgJY",['artificialintelligence']
83,97_future,,,"@INArteCarloDoss Humbly requesting to be part of your community. PhD in Physics. Worked in the semiconductor industry. Started four companies. Still active in one of them designing, manufacturing, and selling characterization equipment for semis. Profitable and growing. Part time investor.",[]
84,charlego,"HVAC CONSULTANT (heating, ventilation & air conditioning) with 30 years of intl. expertise. book writer HVAC & self develop books.",France,"My books Amazon, google books, Ibooks, B&amp;N &amp; Payhip

Please share

 https://t.co/hrlUzaQbKW via @amazon

Google  https://t.co/A002N7tWfo

Apple  https://t.co/STDPoNVG1Q

#hvac #books #ebooks #semiconductor #hotels #cleanrooms #cooling  #energysaving #selfhelp #selfdevelopment https://t.co/0Ksj91TVkF","['hvac', 'books', 'ebooks', 'semiconductor', 'hotels', 'cleanrooms', 'cooling', 'energysaving', 'selfhelp', 'selfdevelopment']"
85,SengirDuke,"Vampire Aristocrat, Homelands supreme ruler back in 1994.

Ex-Crypto Entrepreneur, CEO of defunct BUY HIGH-SELL LOW inc.
Now cashier at Wichael Alone franchise.",Castle Sengir,China's semiconductor ambitions take a hit after Huawei's HiSilicon drops out of global top 25 chip vendor rankings https://t.co/wxdWDTpNoJ,[]
86,stageanalysis,"Stock Trading & Investing, US Stocks Watchlist, Videos, Market Breadth

Stan Weinstein | Minervini | Wyckoff | CAN SLIM

➜ Members: https://t.co/f4iYZmWZNA",,"$AMAT making a Stage 4 breakdown attempt with RS versus the S&amp;P 500 at new 52 week lows below a declining zero line (52 week RS MA)

Semiconductor group $SMH $SOXX continuing to feature heavily in the new lows scans as the group tests Stage 4 level

#stocks #trading #investing https://t.co/fpcf4xe4V1","['stocks', 'trading', 'investing']"
87,Jam13826408,,"Katsushika-ku, Tokyo",China's semiconductor ambitions take a hit after Huawei's HiSilicon drops out of global top 25 chip vendor rankings https://t.co/wxdWDTpNoJ,[]
88,HanlireCom,Hanlire Offical Twitter Account,World,Samsung surpasses Intel in semiconductor revenues https://t.co/ebLWtrYMWw,[]
89,subyroy,Cambridge PhD under FHahn; LSE First. *Philosophy of Economics* 1989. USA 1980-96. Led UH perestroika-for-India project 1986-92. Advised Rajiv Gandhi 1990/1,,China's semiconductor ambitions take a hit after Huawei's HiSilicon drops out of global top 25 chip vendor rankings https://t.co/wxdWDTpNoJ,[]
90,OpeInvesting,"Buyer of dips, catcher of knives  🌩🕺 Midwest stock market talk. ESG, renewables, growth, GARP, tech, semiconductors, cannabis, crypto. Ya, you betcha! 📈🍻","Minnesota, USA","@MarketWatch I said it before, I'll say it again: #accumulate #semiconductor #stocks $AMD $MU","['accumulate', 'semiconductor', 'stocks']"
91,ShrujanShyama,,,"@PeterNLinBCN @CraigKennedy77 @Prof_TGSchulze What you are forgetting is that many large countries like Russia, China, India are more or less independent in critical infrastructure like refinery, power plants, power grids etc. These countries have their own semiconductor fabs of older gen which can produce all the sensors",[]
92,stockresearchhq,We help you discover the next big things in the stock market. Jump in to discuss trading ideas. https://t.co/3GaRcQ1cHs,,"Taiwan Semiconductor Manufacturing Company Limited's quarterly revenue growth rate YoY of 21.20% ranked 1696 out of 5731 companies in our database. 

https://t.co/dLLXBaIeJD $TSM",[]
93,bighireio,I self-identify as a human being (most days). Push to master branch often. #AllLivesMatter #IStandWithJKRowling Proud member of LGBFJB Group. Straight Pride!,,China's semiconductor ambitions take a hit after Huawei's HiSilicon drops out of global top 25 chip vendor rankings https://t.co/wxdWDTpNoJ,[]
94,BAESystemsJobs,"Whatever your talents, goals and ambitions, you’ll find a distinctive place to thrive at BAE Systems. Follow @BAEsystemsinc for a glimpse of #LifeatBAESystems.",United States,"Can you recommend anyone for this job in Manassas, VA? https://t.co/QglbhV9mVX #Engineering #nowhiring","['Engineering', 'nowhiring']"
95,penehoff,trgtgsregrteg,,"Russian government announces new semiconductor plan: domestic 90nm by the end of 2022, 28nm by 2030 https://t.co/SYKZsm86Lp",[]
96,Focus_Taiwan,"Daily news from & about Taiwan, local paper headlines, and photos of the day. Retweet! Follow FB: @focus.tw Insta: @focus_tw",Central News Agency (CNA),"The board members of Yageo Corp., a major multi-layer ceramic capacitor supplier, received the highest annual pay in 2021 among companies listed on the Taiwan Stock Exchange, and Taiwan #Semiconductor Manufacturing Co. board members had the third-highest.
https://t.co/dgG1QibXZc",['Semiconductor']
97,AMTraderX,Analyst,,"@Samir_Madani The way that EV takes off is when we develop an easily accessible energy distribution &amp; storage network that uses semiconductor materials throughout.

We don’t need the energy storage to be perfect but readily, rapidly transferable to EVs.",[]
98,education_24x7,"All education content. Education changes the life.
Software Developer| ML | DS | Technical Blogging at https://t.co/WNErKjwYtH |",Delhi,Savior LLC Raises Stock Position in Taiwan Semiconductor Manufacturing Company Limited (NYSE:TSM) - Slater Sentinel - https://t.co/zKs8GGfVPx #China #tech,[]
99,isaac_cychiu,Taiwanese have done great things together in the past and we will do great things together in the future. Opinions expressed here are my own.,,China's semiconductor ambitions take a hit after Huawei's HiSilicon drops out of global top 25 chip vendor rankings https://t.co/MKIByr6U3O,[]
